"key","Packagesize","Price","Price_per_unit","Product_image","Product_title"
"","700g","$2.69","38c per 100g","https://www.aldi.com.au/fileadmin/_processed_/7/7/csm_1002942-1_PETS_1x1_228x128_19_RET_d59f8016e3.png","Natural Elements Pet Nutrition Chicken with Vegetables and Rice 700g"
"","null","$1.99","$1.11 per 100g","https://www.aldi.com.au/fileadmin/_processed_/b/0/csm_1002942-1_PETS_1x1_228x128_31_RET_d7440e1dfb.png","Julius Treatz Beef Straps 180g"
"","3pk","$14.99","50c per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/8/csm_1002942-1_PETS_1x1_228x128_28_RET_b52fada050.png","Julius & Cachet Chunky Pet Mince 3kg"
"","1kg","$5.99","60c per 100g","https://www.aldi.com.au/fileadmin/_processed_/9/2/csm_1002942-1_PETS_1x1_228x128_27_RET_3a4ed96f65.png","Julius & Cachet Chunky Pet Mince 1kg"
"","85g","$1.09","$1.28 per 100g","https://www.aldi.com.au/fileadmin/_processed_/2/3/csm_1002942-1_PETS_1x1_228x128_21_RET_1158defd16.png","Cachet Premium Cat Food Chicken Varieties 85g"
"","null","$1.09","$1.28 per 100g","https://www.aldi.com.au/fileadmin/_processed_/b/5/csm_1002942-1_PETS_1x1_228x128_22_RET_774634541d.png","Cachet Premium Cat Food Fish Varieties 85g"
"","85g","$1.09","$1.28 per 100g","https://www.aldi.com.au/fileadmin/_processed_/7/f/csm_1002942-1_PETS_1x1_228x128_23_RET_3ac580ef61.png","Cachet Premium Cat Food Meat Varieties 85g"
"","1kg","$6.49","65c per 100g","https://www.aldi.com.au/fileadmin/_processed_/1/e/csm_1002942-1_PETS_1x1_228x128_24_RET_8509552469.png","Cachet Gourmet Dry Cat Food Chicken, Cheese and Vegetable Flavour 1kg"
"","1kg","$6.49","65c per 100g","https://www.aldi.com.au/fileadmin/_processed_/e/9/csm_1002942-1_PETS_1x1_228x128_25_RET_854131bddd.png","Cachet Gourmet Dry Cat Food Seafood Platter wirh Tuna, Vegetable and Prawn Flavour 1kg"
"","12pk","$5.69","56c per 100g","https://www.aldi.com.au/fileadmin/_processed_/d/5/csm_1002942-1_PETS_1x1_228x128_26_RET_8223fcadb6.png","Silvester's Cat Food Pouches Beef Selection in Gravy 12 x 85g"
"","10kg","$7.99","80c per kg","https://www.aldi.com.au/fileadmin/_processed_/3/4/csm_1002942-1_PETS_1x1_228x128_29_RET_e7877941d5.png","San-i-pet Clumping Cat Litter 10kg"
"","null","$9.69","$4.85 per kg","https://www.aldi.com.au/fileadmin/_processed_/6/1/csm_1002942-1_PETS_1x1_228x128_30_RET_f937b85eac.png","San-i-pet Cat Litter Crystals 2kg"
"","140g","$2.29","$1.64 per 100g","https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2364-7_HEALTH_1x1_228x128__7094e66b38.jpg","Dentitex Advanced Whitening Toothpaste"
"","110g","$5.99","$5.45 per 100g","https://www.aldi.com.au/fileadmin/_processed_/6/1/csm_1001349_ALN-1_1x1_Q3_WEB-AUDIT_228x128_16_b23b07d304.jpg","Dentitex Sensitive Plus Whitening Toothpaste"
"","2pk","$1.89","95c per unit","https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_HEALTH_1x1_228x128_4_43e687467b.jpg","Dentitex Interdental Pro Toothbrush 2pk"
"","ea","$3.39","34c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/4/4/csm_1002370-4_Q3_WEB_AUDIT_1x1_228x128_21_RET_1e11b19ab3.png","Dentitex Mouthwash Ultra Fresh, Tartar Control or Teeth Defence 1L"
"","ea","$2.49","$9.96 per 100g","https://www.aldi.com.au/fileadmin/_processed_/3/7/csm_1002370-4_Q3_WEB_AUDIT_1x1_228x128_20_RET_4179ffbebe.png","Essential Health Paw Paw Ointment 25g"
"","24pk","$1.49","6c per tablet","https://www.aldi.com.au/fileadmin/_processed_/b/7/csm_1001605-5_1x1_Q4_WEB-AUDIT_HEALTH_228x128_2_e328b0f92b.jpg","Hedafen Ibuprofen 24pk"
"","20pk","$2.39","12c per capsule","https://www.aldi.com.au/fileadmin/_processed_/0/8/csm_ALN3612_1x1_SSV-OCT-B2_228x128_30_546be572a4.jpg","Hedafen Ibuprofen Liquid Gel Capsules 20pk"
"","20pk","75","4c per tablet","https://www.aldi.com.au/fileadmin/_processed_/6/9/csm_1002179-1_Q2_WEB_AUDIT_1x1_228x128_62_RET_1c99ec3153.png","Hedanol Paracetamol Capsule Shaped Tablets 20pk"
"","ea","$5.29","35c per tablet","https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN2364-7_HEALTH_1x1_228x128_10_78358ca360.jpg","Essential Health Effervescents 15pk"
"","ea","$1.99","2c-4c per strip","https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_1002179-1_Q2_WEB_AUDIT_1x1_228x128_7_RET_b40131b41b.png","Essential Health First Aid Strips Plastic 100pk or Fabric 50pk"
"","ea","$1.99","$6.63 per 100g","https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_1001349_ALN-1_1x1_Q3_WEB-AUDIT_228x128_17_bf3fe01b50.jpg","Onset Protein Bars 30g"
"","ea","$2.99","$3.99 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/0/c/csm_1001137-1_ALN_Q2_WEB_AUDIT_1x1_228x128_2_7aa4086302.jpg","LACURA"
"","ea","$2.99","$1.99 per 100g","https://www.aldi.com.au/fileadmin/_processed_/e/0/csm_1000855_ALN-10_1x1_Q1_WEB-AUDIT_228x128_30_df0846b24d.jpg","LACURA"
"","30pk","$1.69","6c per wipe","https://www.aldi.com.au/fileadmin/_processed_/d/d/csm_1002179-1_Q2_WEB_AUDIT_1x1_228x128_4_RET_88c48cf961.png","Lacura Fine Balance Cleansing Wipes 30pk"
"","30pk","$1.69","6c per wipe","https://www.aldi.com.au/fileadmin/_processed_/4/8/csm_1002179-1_Q2_WEB_AUDIT_1x1_228x128_3_RET_45d3c3e097.png","Lacura Caring Cleansing Wipes 30pk"
"","30pk","$1.69","6c per wipe","https://www.aldi.com.au/fileadmin/_processed_/6/3/csm_1002179-1_Q2_WEB_AUDIT_1x1_228x128_5_RET_842af55f55.png","Lacura Renew Cleansing Wipes 30pk"
"","50ml","$12.99","$25.98 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/d/4/csm_ALN3510_Q3_BEAUTY_1x1_228x128_6_431c63de4b.jpg","LACURA® Renew Expert Face Cream Day 50ml"
"","null","$12.99","$25.98 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/8/c/csm_ALN3510_Q3_BEAUTY_1x1_228x128_7_282f444e31.jpg","LACURA® Renew Expert Face Cream Night 50ml"
"","15ml","$12.99","$86.60 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/b/f/csm_ALN3510_Q3_BEAUTY_1x1_228x128_8_0425c3e696.jpg","LACURA® Renew Expert Firming Eye Gel 15ml"
