"key","Packagesize","Price","Price_per_unit","Product_image","Product_title"
"","100g","95","95c per 100g","https://www.aldi.com.au/fileadmin/_processed_/e/f/csm_1002781_REDUCTIONS_R13_1x1_228x128_4_RET_f20ab3864c.png","Julius Gold Premium Dog Food Meaty Chicken Loaf Style 100g"
"","100g","95","95c per 100g","https://www.aldi.com.au/fileadmin/_processed_/6/8/csm_1002781_REDUCTIONS_R13_1x1_228x128_5_RET_95335a01b7.png","Julius Gold Premium Dog Food Meaty Lamb Loaf Style 100g"
"","100g","95","95c per 100g","https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_1002781_REDUCTIONS_R13_1x1_228x128_6_RET_82b6f9b86d.png","Julius Gold Premium Dog Food Meaty Kangaroo Loaf Style 100g"
"","100g","95","95c per 100g","https://www.aldi.com.au/fileadmin/_processed_/f/4/csm_1002781_REDUCTIONS_R13_1x1_228x128_7_RET_c7f0dbce70.png","Julius Gold Premium Puppy Food 100g"
"","ea","$3.99","66c per 100g","https://www.aldi.com.au/fileadmin/_processed_/f/1/csm_1002781_REDUCTIONS_R13_1x1_228x128_8_RET_fb6ee8dd05.png","World Kitchen Fresh Quiche 200g"
"","ea","$2.59","19c/22c/26c per pad","https://www.aldi.com.au/fileadmin/_processed_/3/9/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_27_RET_48781e5dcf.png","Sana Incontinence Pads 14pk/12pk/10pk"
"","410g/420g","95","$2.32/$2.26 per kg","https://www.aldi.com.au/fileadmin/_processed_/0/1/csm_1002781_REDUCTIONS_R12_1x1_228x128_1_RET_270630edaf.png","New Season Red Kidney Beans 410g/420g"
"","ea","95","$2.29/$2.26 per kg","https://www.aldi.com.au/fileadmin/_processed_/2/6/csm_1002781_REDUCTIONS_R12_1x1_228x128_2_RET_d901612268.png","New Season Lentils or Cannellini Beans 415g/420g"
"","420g","95","$2.26 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/5/csm_1002781_REDUCTIONS_R12_1x1_228x128_3_RET_28d7c56169.png","New Season Chickpeas 420g"
"","420g","95","$2.26 per kg","https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_1002781_REDUCTIONS_R12_1x1_228x128_4_RET_83c729feff.png","New Season 4 Bean Mix 420g"
"","420g","95","$2.26 per kg","https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_1002781_REDUCTIONS_R12_1x1_228x128_5_RET_220c3f3c53.png","New Season Corn Kernels 420g"
"","420g","95","$2.26 per kg","https://www.aldi.com.au/fileadmin/_processed_/0/2/csm_1002781_REDUCTIONS_R12_1x1_228x128_6_RET_5b7c3da134.png","El Tora Black Beans 420g"
"","ea","$2.99","60c per 100g","https://www.aldi.com.au/fileadmin/_processed_/3/e/csm_1002781_REDUCTIONS_R12_1x1_228x128_7_RET_3614e62e2f.png","Remano Potato Gnocchi 500g"
"","per kg","$14.99","$14.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_1002781_REDUCTIONS_R11_1x1_228x128_1_RET_225309c355.png","Ironbark Pork Pork Loin Steak per kg"
"","1kg","$9.49","$9.95 per kg","https://www.aldi.com.au/fileadmin/_processed_/4/9/csm_1002153_REDUCTIONS_R31_1x1_228x128_3_RET_ad2f6c8a15.png","Westacre Dairy Tasty Cheese Block 1kg"
"","ea","$1.69","85c - 28c per 10g","https://www.aldi.com.au/fileadmin/_processed_/d/7/csm_1002153_REDUCTIONS_R31_1x1_228x128_1_RET_96f102094a.png","Stonemill Spice Shakers 20g-60g"
"","ea","$1.59","$1.06 - $0.19 per 10g","https://www.aldi.com.au/fileadmin/_processed_/3/2/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_8_RET_84a65062b9.png","Stonemill Spice Shakers 15g-85g"
"","825g","$3.29","$3.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/5/1/csm_1002781_REDUCTIONS_R09_1x1_228x128_1_RET_b4ffc3df0d.png","Sweet Valley Fruit Salad in Syrup 825g"
"","5pk","$5.49","$1.10 per 100g","https://www.aldi.com.au/fileadmin/_processed_/c/5/csm_1002781_REDUCTIONS_R08_1x1_228x128_1_RET_73d5a17699.png","The Cake Stall Banana Bread Slices 5pk/500g"
"","110g","$1.29","$1.17 per 100g","https://www.aldi.com.au/fileadmin/_processed_/2/2/csm_1002781_REDUCTIONS_R08_1x1_228x128_2_RET_710de7af44.png","Brooklea Blueberry Yogurt No Added Sugar 110g"
"","110g","$1.29","$1.17 per 100g","https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_1002781_REDUCTIONS_R08_1x1_228x128_3_RET_f4203b0fe0.png","Brooklea Raspberry Yogurt No Added Sugar 110g"
"","110g","$1.29","$1.17 per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/f/csm_1002781_REDUCTIONS_R08_1x1_228x128_4_RET_372f0c6e85.png","Brooklea Strawberry Yogurt No Added Sugar 110g"
"","110g","$1.29","$1.17 per 100g","https://www.aldi.com.au/fileadmin/_processed_/d/0/csm_1002781_REDUCTIONS_R08_1x1_228x128_5_RET_6edf646473.png","Brooklea Vanilla Yogurt No Added Sugar 110g"
"","2L","$6.69","34c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/f/c/csm_1002781_REDUCTIONS_R07_1x1_228x128_RET_94687ddb80.png","Pure Vita Canola Oil 2L"
"","1kg","$8.49","85c per 100g","https://www.aldi.com.au/fileadmin/_processed_/b/5/csm_1002781_REDUCTIONS_R05_1x1_228x128_1_RET_39d2ae6a99.png","Farmdale Full Cream Milk Powder 1kg"
"","ea","$2.19","61c per 100g","https://www.aldi.com.au/fileadmin/_processed_/6/f/csm_1002781_REDUCTIONS_R06_1x1_228x128_1_RET_c0641e0927.png","Bakers Life Mini White or Wholegrain Wraps 8pk/360g"
"","400g","$4.49","$11.23 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/1/csm_1002781_REDUCTIONS_R03_1x1_228x128_1_RET_R_9b978257d8.png","Season's Pride Potato Gratin 400g"
"","400g","$4.49","$11.23 per kg","https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_1002781_REDUCTIONS_R03_1x1_228x128_2_RET_c71fa980d9.png","Season's Pride Spinach & Ricotta Gratin 400g"
"","ea","$4.49","$1.12 per 100g","https://www.aldi.com.au/fileadmin/_processed_/a/4/csm_1002781_REDUCTIONS_R10_1x1_228x128_1_73c06c337b.png","Health & Vitality Shepherd’s Pie or Tuna Mornay 400g"
"","350g","$4.49","$1.28 per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/2/csm_1002781_REDUCTIONS_R10_1x1_228x128_2_bf057bec79.png","Health & Vitality Chilli Con Carne 350g"
"","340g","$2.99","$8.79 per kg","https://www.aldi.com.au/fileadmin/_processed_/a/a/csm_1002781_REDUCTIONS_R10_1x1_228x128_4_122760b740.png","Hydale Corned Beef 340g"
"","ea","$3.29","59c per 100g","https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_1002781_REDUCTIONS_R10_1x1_228x128_6_24fe6d59f5.png","Bakers Life Large White or Wholegrain Wraps 8pk/560g"
"","2L","$6.69","34c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/8/7/csm_1002781_REDUCTIONS_R10_1x1_228x128_5_9271a4ec5d.png","Pure Vita Blended Vegetable Oil 2L"
"","ea","$4.49","$1.60/$1.50 per 100g","https://www.aldi.com.au/fileadmin/_processed_/2/c/csm_1002781_REDUCTIONS_R04_1x1_228x128_1_RET_821e5115c1.png","Health & Vitality Chicken & Cashew or Chicken Carbonara 280g/300g"
"","320g","$4.49","$1.40 per 100g","https://www.aldi.com.au/fileadmin/_processed_/f/a/csm_1002781_REDUCTIONS_R04_1x1_228x128_2_RET_947ea05461.png","Health & Vitality Green Chicken Curry 320g"
"","ea","$4.49","$1.28/$1.21 per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/f/csm_1002781_REDUCTIONS_R04_1x1_228x128_3_RET_3724070a40.png","Health & Vitality Chicken Risotto or Chicken Pasta 350g/370g"
"","ea","$4.49","$1.60/$1.55 per 100g","https://www.aldi.com.au/fileadmin/_processed_/5/5/csm_1002781_REDUCTIONS_R04_1x1_228x128_4_RET_97b4b20669.png","Health & Vitality Beef Stroganoff or Lamb Hot Pot 280g/290g"
"","580g","$3.99","69c per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/6/csm_1002781_REDUCTIONS_R02_1x1_228x128_1_RET_91870e81f3.png","Goldenvale Bran & Sultanas 580g"
"","510g","$7.49","$1.47 per 100g","https://www.aldi.com.au/fileadmin/_processed_/3/5/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_12_RET_3cbbc219f4.png","Fancy Feast Cat Food Multipack 510g"
"","6kg","$24.99","42c per 100g","https://www.aldi.com.au/fileadmin/_processed_/a/1/csm_1002153_REDUCTIONS_R46_1x1_228x128_4_RET_f60abc932d.png","Supercoat Dry Dog Food 6kg"
"","70g","$1.49","$2.13 per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/f/csm_1002781_REDUCTIONS_R01_1x1_228x128_1_RET_f721065dea.png","Brooklea Chocolate Flavoured Custard Pouch 70g"
"","70g","$1.49","$2.13 per 100g","https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_1002781_REDUCTIONS_R01_1x1_228x128_2_RET_1633a35b3f.png","Brooklea Vanilla Flavoured Custard Pouch 70g"
"","ea","$1.79","13c/15c/18c per pad","https://www.aldi.com.au/fileadmin/_processed_/4/7/csm_1002153_REDUCTIONS_R59_1x1_228x128_1_RET_b6ebc9136d.png","So Femme Ultra Thin Pads 14pk/12pk/10pk"
"","ea","$1.89","4c-6c per liner","https://www.aldi.com.au/fileadmin/_processed_/7/5/csm_1002153_REDUCTIONS_R59_1x1_228x128_2_RET_812ed1675d.png","So Femme Boxed Liners 48pk/30pk"
"","200g","$4.49","$22.45 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/0/csm_1002153_REDUCTIONS_R58_1x1_228x128_6_RET_bb4c41e9a2.png","Emporium Selection Swiss Cheese Slices 200g"
"","2kg","$9.69","$4.85 per kg","https://www.aldi.com.au/fileadmin/_processed_/b/7/csm_1002153_REDUCTIONS_R58_1x1_228x128_1_RET_482ee24545.png","San-I-Pet Cat Litter Crystals 2kg"
"","125g","$2.49","$19.92 per kg","https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_1002153_REDUCTIONS_R58_1x1_228x128_4_RET_24ea9b6810.png","Emporium Selection Camembert Cheese 125g"
"","125g","$2.49","$19.92 per kg","https://www.aldi.com.au/fileadmin/_processed_/5/b/csm_1002153_REDUCTIONS_R58_1x1_228x128_3_RET_9f06774157.png","Emporium Selection Brie Cheese 125g"
"","60pk","$7.99","13c per tablet","https://www.aldi.com.au/fileadmin/_processed_/8/1/csm_1002153_REDUCTIONS_R58_1x1_228x128_5_RET_6d6a1e02bc.png","Essential Health Vitamins Glucosamine 60pk"
"","265g","$4.99","$18.83 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/7/csm_1002153_REDUCTIONS_R57_1x1_228x128_1_RET_cc6810ab1d.png","Emporium Selection Gouda Cheese Portion 265g"
"","260g","$4.99","$19.19 per kg","https://www.aldi.com.au/fileadmin/_processed_/3/4/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_18_RET_a0285542da.png","Emporium Selection Maasdam Cheese Portion 260g"
"","230g","$4.99","$21.70 per kg","https://www.aldi.com.au/fileadmin/_processed_/0/7/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_19_RET_9e5ccf1992.png","Emporium Selection Edam Cheese Portion 230g"
"","200g","$4.49","$22.45 per kg","https://www.aldi.com.au/fileadmin/_processed_/f/b/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_20_RET_0278dee7d0.png","Emporium Selection Butterkase Cheese Slices 200g"
"","200g","$4.49","$22.45 per kg","https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_22_RET_c1dcb0d68b.png","Emporium Selection Havarti Cheese Slices 200g"
"","200g","$4.49","$22.45 per kg","https://www.aldi.com.au/fileadmin/_processed_/f/1/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_23_RET_2be24f9391.png","Emporium Selection Gouda Cheese Slices 200g"
"","200g","$4.49","$22.45 per kg","https://www.aldi.com.au/fileadmin/_processed_/f/c/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_24_RET_ea50090941.png","Emporium Selection Edam Cheese Slices 200g"
"","200g","$4.49","$22.45 per kg","https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_25_RET_7f7cc33e09.png","Emporium Selection Maasdam Cheese Slices 200g"
"","150g","$4.49","$29.93 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/8/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_26_RET_1e8a2b3bec.png","Emporium Selection Goat's Cheese Slices 150g"
"","200g","$4.39","$21.95 per kg","https://www.aldi.com.au/fileadmin/_processed_/5/e/csm_1002153_REDUCTIONS_R56_1x1_228x128_2_RET_04963f388a.png","Berg Short Cut Bacon 200g"
"","100g","$4.69","$46.90 per kg","https://www.aldi.com.au/fileadmin/_processed_/3/b/csm_1002153_REDUCTIONS_R55_1x1_228x128_1_RET_f36c8dc0fd.png","Oh So Natural Pine Nuts 100g"
"","500g","$9.49","$18.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/2/b/csm_1002153_REDUCTIONS_R56_1x1_228x128_3_RET_e2fcff5a32.png","Ready, Set…Cook! Crumbed Pork Schnitzel 500g"
"","200g","$4.49","$22.45 per kg","https://www.aldi.com.au/fileadmin/_processed_/a/0/csm_1002729_LTO_B1_1x1_228x128_1_RET_aef1d282d4.png","Blackstone Everything Bagel Flavoured Cashews 200g"
"","50g","$3.19","64c per 10 g","https://www.aldi.com.au/fileadmin/_processed_/a/6/csm_1002153_REDUCTIONS_R52_1x1_228x128_1_RET_bc1b52c595.png","Stonemill Black Pepper Grinder 50g"
"","110g","$3.19","29c per 10 g","https://www.aldi.com.au/fileadmin/_processed_/4/4/csm_1002153_REDUCTIONS_R52_1x1_228x128_2_RET_e9b431b851.png","Stonemill Iodised Sea Salt Grinder 110g"
"","250g","$5.49","$21.96 per kg","https://www.aldi.com.au/fileadmin/_processed_/e/6/csm_1002153_REDUCTIONS_R51_1x1_228x128_1_RET_1ba128e316.png","Westacre Dairy Shredded Parmesan Cheese 250g"
"","500g","$7.99","$15.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/4/6/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_17_RET_cb5a211d75.png","Westacre Dairy Light Tasty Cheese Slices 500g"
"","500g","$7.99","$15.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/b/4/csm_1002153_REDUCTIONS_R49_1x1_228x128_1_RET_fa59ccb9cf.png","Westacre Dairy Colby Cheese Slices 500g"
"","200g","$4.49","$22.45 per kg","https://www.aldi.com.au/fileadmin/_processed_/6/b/csm_1002729_LTO_B1_1x1_228x128_2_RET_54ee3bdde9.png","Blackstone Korean BBQ Flavoured Cashews 200g"
"","400g","$8.99","$22.48 per kg","https://www.aldi.com.au/fileadmin/_processed_/2/a/csm_1002729_LTO_B1_1x1_228x128_3_RET_e36b4efd99.png","Forresters Sesame Cashews 400g"
"","ea","$3.29","$1.32 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/3/5/csm_1002729_LTO_B1_1x1_228x128_5_RET_020b0e8084.png","Expressi Coffee Syrups 250ml"
"","1kg","$21.99","$21.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/a/0/csm_4823_5-LTO_1x1_228x128_2_RET_215ed591ab.png","Lazzio Luxe Blend Beans 1kg"
"","ea","$5.99","$1.50 per 100g","https://www.aldi.com.au/fileadmin/_processed_/f/d/csm_1002729_LTO_B4_1x1_228x128_2_RET_b7105f4a35.png","Mama Ka'z Dessert Puddings Sticky Date or Apple Crumble 400g"
"","500g","$3.99","80c per 100g","https://www.aldi.com.au/fileadmin/_processed_/2/3/csm_1002729_LTO_B4_1x1_228x128_3_RET_02c1413870.png","World Kitchen Potato Gnocchi 500g"
"","500g","$7.99","$15.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/2/6/csm_1002153_REDUCTIONS_R49_1x1_228x128_2_RET_afddf90c88.png","Westacre Dairy Tasty Cheese Slices 500g"
"","ea","$3.39","34c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/e/7/csm_1002153_REDUCTIONS_R49_1x1_228x128_3_RET_64ec43caef.png","Dentitex Mouthwash 1L"
"","500ml","$3.99","80c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/c/4/csm_1002153_REDUCTIONS_R49_1x1_228x128_4_RET_R_c1f16637e8.png","Dentitex Mouthwash 500ml"
"","150g","$11.39","$7.59 per 100g","https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_1002153_REDUCTIONS_R49_1x1_228x128_5_RET_f147eedf0d.png","Moccona Classic Coffee 150g"
"","250g","$2.69","$10.76 per kg","https://www.aldi.com.au/fileadmin/_processed_/b/a/csm_1002153_REDUCTIONS_R48_1x1_228x128_1_RET_ecf4fca176.png","Westacre Cream Cheese Spreadable 250g"
"","per kg","$21.99","$21.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/4/4/csm_1002153_REDUCTIONS_R47_1x1_228x128_2_RET_864d968b7b.png","Jindurra Station Beef Porterhouse Steak per kg"
"","1L","$1.59","$1.59 per litre","https://www.aldi.com.au/fileadmin/_processed_/9/8/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_16_RET_9e9001db9c.png","Farmdale Lactose Free UHT Milk 1L"
"","750ml","$11.99","null","https://www.aldi.com.au/fileadmin/_processed_/1/d/csm_1002153_REDUCTIONS_R45_1x1_228x128_1_RET_9bc25ae015.png","The Tudor Central Victorian Shiraz 750ml"
"","2L","$6.49","33c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/5/9/csm_1002153_REDUCTIONS_R45_1x1_228x128_2_RET_67e7b195bb.png","Streets Blue Ribbon Vanilla 2L"
"","45ml","$2.99","$6.64 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_1002153_REDUCTIONS_R46_1x1_228x128_1_RET_5c8de3b32e.png","Rexona Anti Perspirant Roll On Deodorant 45ml"
"","45ml","$2.99","$6.64 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/0/a/csm_1002153_REDUCTIONS_R46_1x1_228x128_2_RET_4ce1f855e1.png","Dove Anti Perspirant Roll On Deodorant 45ml"
"","350g","$6.99","$2.00 per 100g","https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_1002729_LTO_B4_1x1_228x128_4_RET_8fd7dff61c.png","World Kitchen Mushroom Risotto 350g"
"","350g","$7.99","$2.28 per 100g","https://www.aldi.com.au/fileadmin/_processed_/a/1/csm_1002729_LTO_B4_1x1_228x128_5_RET_08f9454e23.png","World Kitchen Carbonara with Chicken and Bacon 350g"
"","200g","$4.69","$2.35 per 100g","https://www.aldi.com.au/fileadmin/_processed_/9/d/csm_1002729_LTO_B4_1x1_228x128_6_RET_70835b7611.png","World Kitchen Mediterranean Style Frittata 200g"
"","300g","$4.19","$1.40 per 100g","https://www.aldi.com.au/fileadmin/_processed_/5/6/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_13_RET_e617012952.png","Oh So Natural Organic Extra Virgin Coconut Oil 300g"
"","100g","$2.49","$2.49 per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_14_RET_09f5e3981d.png","Moser Roth Organic Single Origin Chocolate 100g"
"","350g","$7.99","$2.28 per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/5/csm_1002729_LTO_B2_1x1_228x128_1_RET_d32c523e61.png","World Kitchen Portuguese Style Chicken with Spicy Rice 350g"
"","100g","$3.99","$39.90 per kg","https://www.aldi.com.au/fileadmin/_processed_/6/5/csm_1002729_LTO_B1_1x1_228x128_25_RET_f7cf1095b3.png","Emporium Selection Danish Blue Cheese 100g"
"","200g","$4.99","$24.95 per kg","https://www.aldi.com.au/fileadmin/_processed_/4/8/csm_1002729_LTO_B1_1x1_228x128_26_RET_60fe5717d2.png","Emporium Selection Double Cream Brie 200g"
"","350g","$7.99","$2.28 per 100g","https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_1002729_LTO_B1_1x1_228x128_29_RET_4006fe8385.png","World Kitchen Chicken Parmigiana with Roast Potatoes 350g"
"","240g","$4.99","$2.08 per 100g","https://www.aldi.com.au/fileadmin/_processed_/f/e/csm_1002729_LTO_B1_1x1_228x128_30_RET_50ec085a75.png","World Kitchen Cheeseburger Spring Rolls 240g"
"","700g","$9.99","$1.43 per 100g","https://www.aldi.com.au/fileadmin/_processed_/1/3/csm_1002729_LTO_B1_1x1_228x128_31_RET_777076ec67.png","World Kitchen Mighty Meat Fully Loaded Pizza 700g"
"","80pk","$2.49","$3.11 per 100 wipes","https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_1002153_REDUCTIONS_R43_1x1_228x128_2_RET_4cdf2d5d9b.png","Mamia Embossed Baby Wipes 80pk"
"","160g","$2.39","$1.49 per 100g","https://www.aldi.com.au/fileadmin/_processed_/e/4/csm_1002153_REDUCTIONS_R43_1x1_228x128_3_RET_c5d35b8ae7.png","Sunrice Rice Cakes Sour Cream & Chives 160g"
"","400g","$8.49","$21.23 per kg","https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_1002153_REDUCTIONS_R43_1x1_228x128_1_RET_a584c1cddb.png","Forresters Dry Roasted Mixed Nuts 400g"
"","500g","$15.99","$31.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/1/1/csm_1002153_REDUCTIONS_R42_1x1_228x128_1_RET_9a7ec73617.png","Ocean Royale Wild Raw Peeled Prawns 500g"
"","250g","$4.99","$19.96 per kg","https://www.aldi.com.au/fileadmin/_processed_/b/1/csm_1002153_REDUCTIONS_R41_1x1_228x128_1_RET_91196d5a99.png","Westacre Dairy Tasty Cheese Shredded 250g"
"","1kg","$9.69","$9.69 per kg","https://www.aldi.com.au/fileadmin/_processed_/b/2/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_11_RET_816593a03b.png","Farmwood Chicken Wing Nibbles 1kg"
"","3pk","$1.99","66c per ea","https://www.aldi.com.au/fileadmin/_processed_/e/c/csm_1002153_REDUCTIONS_R38_1x1_228x128_1_RET_5cce6744af.png","Bakers Life Croissants 3pk/168g"
"","750g","$10.99","$1.47 per 100g","https://www.aldi.com.au/fileadmin/_processed_/7/9/csm_1002729_LTO_B1_1x1_228x128_32_RET_9fdfd7b6d5.png","World Kitchen Korean Beef Dumplings 750g"
"","1.1kg","$10.99","$1.00 per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/7/csm_1002729_LTO_B1_1x1_228x128_33_RET_9a1a5d227f.png","World Kitchen Cottage Pie 1.1kg"
"","800g","$9.99","$1.25 per 100g","https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_1002729_LTO_B1_1x1_228x128_35_RET_124cd71923.png","World Kitchen Beef Bolognese 800g"
"","150g","$5.99","$39.93 per kg","https://www.aldi.com.au/fileadmin/_processed_/4/8/csm_4823_5-LTO_1x1_228x128_1_RET_79d87ef560.png","Emporium Selection Truffle Cheddar Cheese 150g"
"","150g","$6.99","$46.60 per kg","https://www.aldi.com.au/fileadmin/_processed_/5/3/csm_702942_DE_Q_01_1x1_5273a659bf.png","Sartori Cheddar Cheese with Red Wine 150g"
"","per kg","$19.99","$19.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/b/c/csm_1002729_LTO_B4_1x1_228x128_1_RET_c089ebbd10.png","Ready , Set...Cook! Pork Belly Twister per kg"
"","4pk","$19.99","$41.65 per kg","https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_1002729_LTO_B4_1x1_228x128_7_RET_1fc33b5d07.png","The Fishmonger Fresh Tasmanian Salmon Fillets Lemon, Basil & Dill 4pk/480g"
"","200g","$5.99","$29.95 per kg","https://www.aldi.com.au/fileadmin/_processed_/5/2/csm_1002729_LTO_B3_1x1_228x128_1_RET-1_af31155217.png","The Fishmonger Crispy Coconut Prawns 200g"
"","100g","$4.99","$49.90 per kg","https://www.aldi.com.au/fileadmin/_processed_/e/7/csm_1002729_LTO_B1_1x1_228x128_34_RET_391169c387.png","Berg Truffle Salami 100g"
"","1kg","$9.69","$9.69 per kg","https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_1002153_REDUCTIONS_R39_1x1_228x128_2_RET_551d3c732c.png","Farmwood Chicken Breast Chips 1kg"
"","1L","$1.59","$1.59 per litre","https://www.aldi.com.au/fileadmin/_processed_/5/6/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_15_RET_58f881bc95.png","Farmdale Lactose Free Low Fat UHT Milk 1L"
"","8pk/320g","$4.29","$1.34 per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/1/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_7_RET_32be3f9cb1.jpg","The Cake Stall Mini Muffins 8pk/320g"
"","250g","$2.99","$11.96 per kg","https://www.aldi.com.au/fileadmin/_processed_/3/b/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_10_RET_32cec4fd37.png","Whitworths Finest Golden Apricots 250g"
"","300g","$2.59","86c per 100g","https://www.aldi.com.au/fileadmin/_processed_/0/4/csm_1002153_REDUCTIONS_R36_1x1_228x128_1_RET_88fd81544a.png","Atlas Kill & Protect Flying Insect Spray 300g"
"","350g","$2.99","85c per 100g","https://www.aldi.com.au/fileadmin/_processed_/7/b/csm_1002153_REDUCTIONS_R36_1x1_228x128_2_RET_6e2e586ccb.png","Atlas Kill & Protect Crawling Insect Spray 350g"
"","ea","$9.99","$1.43 per 100g","https://www.aldi.com.au/fileadmin/_processed_/3/b/csm_1002729_LTO_B1_1x1_228x128_7_RET_d916460493.png","Urban Eats Japanese Style Chicken or Pork Gyoza 700g"
"","1L","$7.99","80c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/1/0/csm_1002729_LTO_B1_1x1_228x128_10_RET_2d8cbce04b.png","Kapiti Triple Chocolate Ice Cream 1L"
"","6pk/360ml","$6.49","$1.80 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/d/2/csm_1002729_LTO_B1_1x1_228x128_11_RET_f75f3b75c6.png","Kapiti Chocolate Hazelnut Mini 6pk/360ml"
"","1L","$5.99","60c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/8/d/csm_1002729_LTO_B1_1x1_228x128_12_RET_c994da53da.png","Indulge Gourmet Ice Cream Vanilla, Caramel & Choc Brownie 1L"
"","350g","$6.99","$19.97 per kg","https://www.aldi.com.au/fileadmin/_processed_/a/4/csm_1002729_LTO_B1_1x1_228x128_13_RET_b0f7d5a378.png","Ocean Royale Gluten Free Fish Bites 350g"
"","500g","$18.99","$37.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/8/9/csm_1002729_LTO_B1_1x1_228x128_14_RET_a36f8d3326.png","Ocean Royale Australian Raw Prawns Peeled Tail Off 500g"
"","ea","$6.99","$2.06/$1.94 per 100g","https://www.aldi.com.au/fileadmin/_processed_/9/b/csm_1002729_LTO_B1_1x1_228x128_15_RET_751bdeedff.png","Health & Vitality FIT Burrito Bowl or BBQ Beef 340g/360g"
