"key","Brand","Product_id","Product_url","Sku_name"
"","Captain Fin Co","7080303165483","null","CI/Former Twad Fins"
"","Captain Fin Co","7080303657003","null","Andy Neiblas Single Fin"
"","Patagonia","7074433892395","null","M's Flying Fish Responsibili-Tee"
"","O'Neill","7083217322027","null","Defender Reef Split Toe Cinch Strap Boot"
"","Hayden Shapes","7088841752619","https://surfboardempire.com.au/products/cohort-ii-future-flex-moon-patrol","Cohort II Future Flex"
"","Pedal","7070629330987","null","Core Electric Bike"
"","Pedal","7070629298219","null","AWDIII Electric Bike"
"","Rip Curl","7090790203435","null","Surf Series Wetty Bucket"
"","O'Neill","7090526584875","null","Psycho Tech 1.5mm  Glove"
"","JS Surfboards","7074438643755","https://surfboardempire.com.au/collections/js-surfboards","Xero Gravity Easy Rider"
"","Rip Curl","7089854447659","null","F Bomb Fusion 3/2mm GB  Zip Free Wetsuit"
"","Hayden Shapes","7088841981995","null","Holy Hypto Future Flex"
"","FCS","7088862724139","null","Sky Brown 3 Piece Traction"
"","FCS","7088857874475","null","FCS II Sky Brown PC Tri Fins"
"","Lost","7087434498091","null","Micks Tape SYM with Spray"
"","Lost","7087396683819","null","Micks Tape SYM"
"","Hydro Flask","7083217387563","null","Hydration 32oz Wide Flex Straw Cap"
"","Hydro Flask","7083217453099","null","Hydration 21oz Standard Mouth with Flex Cap"
"","Hydro Flask","7083217485867","null","Hydration 21oz Standard Mouth With Flex Straw Cap"
"","Hydro Flask","7083217518635","null","Standard Mouth Sports Cap"
"","Hydro Flask","7083217551403","null","Standard Flex Straw Cap"
"","Hydro Flask","7083217584171","null","Trail 21oz Lightweight with Standard Flex Cap"
"","Reef","7083217649707","null","Cushion Vista Perf"
"","JS Surfboards","7083558338603","null","Red Baron EPS"
"","Firewire","7084305580075","null","Volcanic Helium Mashup"
"","Creatures","6893360152619","null","Jack Freestone Lite Ecopure Traction"
"","Ocean & Earth","7074437627947","null","Softboard Resin Repair"
"","Wax Fresh","7074438873131","null","Wax Scraper"
"","Sun Bum","7074434514987","null","Lotion Spf 30+"
"","Dritimes","7074431762475","null","Dritimes Straw Hat"
"","Octopus","7071543722027","null","Small Choice Traction"
"","Octopus","7071543754795","null","Front Deck III Traction"
"","Octopus","7071543558187","null","Rastarobb Traction"
"","Octopus","7071543623723","null","Dylan Graves II Traction"
"","Octopus","7071543656491","null","Mega Storm Traction"
"","Octopus","7071543689259","null","Nate Tyler IV Traction"
"","Futures","7074433695787","null","Futures Fin Key"
"","Fins Out","7074433073195","null","Finsout Fin Removal Tool"
"","Dritimes","7074432057387","null","Dritimes Beach Towel"
"","Former","7074432221227","null","Dane 2.0 Trunk"
"","Octopus","7071543525419","null","Biohaz II Traction"
"","Former","7074431139883","null","All Purpose Bucket Hat"
"","Palmers","7074437333035","null","Palmers Softboard Wax"
"","Pyzel","7071958499371","https://surfboardempire.com.au/products/ghost","Red Tiger"
"","Pyzel","7071948275755","https://surfboardempire.com.au/products/red-tiger","White Tiger"
"","FCS","7071897026603","null","Deus Connect PG Single Fin"
"","FCS","7071896961067","null","Deus Modern PG Keel Fins"
"","FCS","7071554601003","null","Deus Power Twin + 1 PG Fins"
"","FCS","7071554568235","null","Deus PC Tri Fins"
"","FCS","7071554633771","null","Deus Surf Bucket Hat"
"","MR","7071477104683","null","MR 1982 Retro Round Tail"
"","Firewire","7068342419499","null","FRK Plus Ibolic"
"","Veia","7063442292779","null","15FT / 4.55M Tie Downs"
"","Veia","7063442260011","null","John John Florence Day Bag"
"","Veia","7063442227243","null","16.5FT / 5.0M Tie Downs"
"","Veia","7063442194475","null","Four Board Travel Bag"
"","Veia","7063442161707","null","John John Florence Pro 7' Leash"
"","Veia","7063442128939","null","Explorer 3 Piece Pad"
"","Veia","7063442096171","null","John John Florence Grom Pad"
"","Veia","7063442063403","null","John John Florence Pro 6' Comp Leash"
"","Veia","7063442030635","null","Explorer Flat Pad"
"","Veia","7063441965099","null","John John Florence Pro 5' Leash"
"","Veia","7063441932331","null","Explorer Day Bag"
"","Veia","7063441899563","null","9FT / 2.75M Tie Downs"
"","Veia","7063441834027","null","3/2 Convertible Travel Bag"
"","Veia","7063441801259","null","John John Florence Pro 6' Leash"
"","Veia","7063441768491","null","Rack Pad Wide"
"","Veia","7063441735723","null","John John Florence Round Tail Pro Pad"
"","Veia","7063441604651","null","12FT / 3.65M Tie Downs"
"","Futures","6960205135915","null","F8 Alpha Tri-Quad Fins"
"","Surfboard Empire","7060406140971","null","SBE Circle Surf Cap"
"","Surfboard Empire","7060406075435","null","SBE Block Surf Cap"
"","Surfboard Empire","7060384022571","null","SBE Circle Tee"
"","Surfboard Empire","7060382842923","null","SBE Block Tee"
"","Surfboard Empire","7060371767339","null","SBE Box Sticker"
"","Surfboard Empire","7060371570731","null","SBE Circle Sticker"
"","Futures","7058910871595","null","Sharp Eye HC Tri Fins"
"","LSD","7058910380075","https://surfboardempire.com.au/collections/lsd/products/noapromodelswallow","Chlorine Osseus Stringered Epoxy"
"","Lost","7058169298987","https://surfboardempire.com.au/products/driver-30-stub","Driver 3.0 Squash"
"","Creatures","7058216845355","null","Global Hardware Short Sleeve Tee"
"","Creatures","4504554799147","null","Reliance III Traction"
"","Crime","7052126191659","null","Stubby"
"","Crime","7052126158891","null","Gothic Dolphins"
"","Crime","7052126093355","null","Dylan Graves"
"","Crime","7052126060587","null","CA Twin"
"","Sisstrevolution","6942100881451","null","Ikat Sandbar Rashguard"
"","FCS","6977113882667","null","FCS Key Lock 22"
"","FCS","6977114144811","null","Essential Truckers Wet Cap"
"","Sun Bum","6977118011435","null","Mineral SPF 30 Face Tint 50ml"
"","Firewire","7043659038763","null","Machado Seaside Quad Fins"
"","MR","7042165047339","null","1979 Retro Single Fin"
"","Lib Tech","7040032178219","null","Terrapin"
"","Lib Tech","7040032079915","null","Lib Tech - Lost RNF 96"
"","Lib Tech","7040031916075","null","Lib Tech - Lost Little Wing"
"","Lib Tech","7040031850539","null","Lib Tech - Lost Crowd Killer"
"","Lost","7037780033579","https://surfboardempire.com.au/products/puddle-jumper-pro","Puddle Jumper Pro LightSpeed EPS"
"","MF Softboards","7008135249963","null","Catfish Super Soft Softboard"
"","Gorilla Grip","6942098653227","null","Geiselman Storm Traction"
"","Creatures","7008135348267","null","Survival First Aid Kit - The Ocean Warrior"
"","Surfboard Empire","7032593449003","null","Surfboard Empire Gift Card [online only]"
"","Lost","7020691292203","https://surfboardempire.com.au/products/driver-30-stub","Driver 3.0 Round"
"","Pyzel","7014969507883","null","Mini Padillac"
"","FCS","6940065464363","null","FCS II DH PC Tri Retail Fins"
"","Not specified","6830419050539","null","Noa Deane UPDA Book"
"","Thunderbolt","6901596782635","null","Mid 6 - Thunderbolt Red"
"","Channel Islands","6902450061355","null","FishBeard SpineTek"
"","Futures","6996558151723","null","Neutral Honeycomb Quad Rear Pair Fins"
"","Futures","7008073580587","null","P8 Alpha Tri Fins"
"","Futures","7008073646123","null","P6 Alpha Tri Fins"
"","Futures","7008073711659","null","P4 Alpha Tri Fins"
"","JS Surfboards","7005679222827","https://surfboardempire.com.au/collections/js-surfboards","Xero Gravity"
"","Ballet","7002280427563","null","Two Step Alternative Traction"
"","Ballet","7002280394795","null","Sinatra Front Traction"
"","Ballet","7002280362027","null","Concrete Two Piece Hybrid Traction"
"","Ballet","7002280263723","null","Anti Slip 3 Piece Pro Traction"
"","Lost","6993966497835","null","Micks Tape Regular With Spray"
"","Lost","6993966432299","null","Micks Tape Regular"
"","Lost","6993966333995","null","Micks Tape Goofy With Spray"
"","Lost","6993966235691","null","Micks Tape Goofy"
"","Captain Fin Co","6879956402219","null","Mikey February Keel"
"","Futures","6996558053419","null","Pivot Honeycomb Quad Rear Pair Fins"
"","Channel Islands","6892392022059","null","Bobby Quad"
"","FCS","6929549590571","null","Travel 2 Fun Board"
"","Futures","6977114865707","null","T1 HC Twin+1"
"","Channel Islands","6890653417515","null","Free Scrubber"
"","Vissla","6942099800107","null","High Seas II 1mm Long Sleeve Jacket"
"","Channel Islands","6897369776171","null","CI Pro"
"","FCS","6980942430251","null","FCS II Christenson Keel PG Fins"
"","Futures","6996383531051","null","VF Rasta Honeycomb Keel Fins"
"","Futures","6996382711851","null","Rasta Honeycomb Quad Fins"
"","JS Surfboards","6985812410411","null","Black Baron 2.1"
"","Former","6985309585451","null","Swans Purpose Swim Trunk"
"","Former","6985308635179","null","Persuasion 17"" Trunk"
"","Former","6985306636331","null","Low End T-Shirt"
"","Former","6985303064619","null","Legacy Cap"
"","Former","6985302442027","null","Danse T-Shirt"
"","Former","6985300312107","null","Dane Purpose Trunk"
"","Former","6985293168683","null","Anderson Division Trunk"
"","Former","6985293758507","null","Legacy T-Shirt"
"","Catch Surf","4855225155627","null","Odysea Log Jamie O'Brien Pro Softboard"
"","Firewire","6985167962155","null","Volcanic Seaside"
"","Creatures","6977161134123","null","Griffin Colapinto Ecopure"
"","Catch Surf","4835899834411","null","Wave Bandit Performer Ben Gravy Softboard"
"","Creatures","6977161297963","null","Grom Reliance Lite Leash"
"","Creatures","6977161461803","null","Grom Superlite Leash"
"","Creatures","6977162674219","null","Surf Bucket Hat"
"","Creatures","6893364346923","null","Italo Ferreira Lite Ecopure"
"","Pyzel","6978585002027","null","Voyager 1"
"","Pyzel","6978577530923","https://surfboardempire.com.au/products/ghost","Ghost Swallow Tail"
"","Pyzel","6978573107243","https://stabmag.com/stabcinema/watch-stab-in-the-dark-2016/","74"
"","Creatures","1796048846891","null","Griffin Colapinto Signature Traction"
"","FCS","6977114243115","null","FCS II BM PG Twin Retail Fins"
"","Catch Surf","6688650461227","null","Odysea Skipper Basic Jamie O'Brien Pro Softboard"
"","Rip Curl","6688574144555","null","Omega 1.5mm Long Sleeve Jacket"
"","Futures","4505355714603","null","T1 Thermotech Twin + Stabiliser Fins"
"","FCS","4481232240683","null","FCS II Machado Keel PC Twin Fins"
"","Thunderbolt","4419844145195","null","HI HP"
"","Futures","4374643277867","null","HS Plunder 7"" Twin + 1 Single Fins"
"","Rip Curl","4405965914155","null","Omega 1.5mm Short Sleeve Wetsuit Jacket"
"","Futures","6942097997867","null","T2 FG Twin"
"","Ocean & Earth","4370697584683","null","O & E Allround Comp 6ft XT Leash"
"","Futures","1796829610027","null","Rasta Keel Twin Fins"
"","FCS","1796288086059","null","Fin Case"
"","Softech","6688636469291","null","Mojo Bodyboard"
"","Sun Bum","1809766187051","null","Sunbum Spray SPF 50+"
"","Futures","6942098915371","null","Pyzel Thruster"
"","FCS","6960088350763","null","Freedom Helix All Round Calf Leash"
"","Futures","6960141991979","null","TP1 HC Thruster"
"","Futures","6960193241131","null","HS Gen Series Quad Rear Fins"
"","Futures","6961569529899","null","Machado Fibreglass"
"","Softech","6969314836523","null","Toledo Softboard"
"","Softech","6969314738219","null","Slayer Softboard"
"","MR","6964700348459","null","MR Mid Length Swallow Twin + 1"
"","Lost","6957095092267","null","Driver 2.0 Grom"
"","Lost","6956786450475","null","Driver 2.0 Grom Lightspeed"
"","FCS","6940061433899","null","T-3 Fish Eco Traction"
"","FCS","6940061892651","null","T-3W Eco 3 Piece Traction"
"","FCS","6940062056491","null","FCS II MR FreeridePG Twin Fins"
"","FCS","6940061990955","null","FCS II Christenson PG Volan Fin"
"","FCS","6940062023723","null","Connect Neo Eco Fin"
"","FCS","1804264701995","null","FCS II Performer Tri Fins"
"","FCS","4844937838635","null","Classic Fun Board Cover"
"","Db","6766928396331","null","The Djärv 3-4 Surfboard Coffin"
"","FCS","6702113194027","null","FCS Protect Big Wave Leash"
"","Captain Fin Co","6688645054507","null","CF Pivot Fin"
"","Futures","4891361181739","null","AM2 Techflex Tri-Quad Fins"
"","Softech","4856900026411","null","Bomber Softboard"
"","Captain Fin Co","4856565432363","null","Panda Twin + Trailer Fins"
"","Sun Bum","4851362201643","null","Original SPF 50 Sunscreen Lotion 237ml"
"","Catch Surf","4835891118123","null","Odysea Log Johnny Redmond Pro Softboard"
