"key","Image_url","Price_now","Price_was","Product_url","Sku_name"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5952/22606/Nomad_Lures_colour_chart__32006.1684730865.jpg?c=2","12.75","null","https://tackleworldadelaide.com.au/nomad-ridgeback-long-cast-lure-60gm/","Nomad Ridgeback Long Cast Lure 60GM"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5951/22604/Nomad_Lures_colour_chart__75639.1684730654.jpg?c=2","14.75","null","https://tackleworldadelaide.com.au/nomad-ridgeback-long-cast-lure-80gm/","Nomad Ridgeback Long Cast Lure 80GM"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5701/17452/Skid-Jig-New-Colours__57862.1637734633.jpg?c=2","19.95","null","https://tackleworldadelaide.com.au/berkley-skid-jig-150g/","Berkley Skid Jig 150g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5536/16897/lbWhTKx__19969__86902.1634870304.jpg?c=2","9.99","null","https://tackleworldadelaide.com.au/jackson-gallop-baby-3g/","Jackson Gallop Baby 3g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5535/16896/lbWhTKx__19969__47224.1634870016.jpg?c=2","9.99","null","https://tackleworldadelaide.com.au/jackson-gallop-baby-5g/","Jackson Gallop Baby 5g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5489/16737/Skid-Jig-New-Colours__99268.1634608398.jpg?c=2","19.95","null","https://tackleworldadelaide.com.au/berkley-skid-jig-120g/","Berkley Skid Jig 120g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5488/16736/Skid-Jig-New-Colours__73791.1634608296.jpg?c=2","17.95","null","https://tackleworldadelaide.com.au/berkley-skid-jig-100g/","Berkley Skid Jig 100g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5487/16735/Skid-Jig-New-Colours__49085.1634608174.jpg?c=2","16.95","null","https://tackleworldadelaide.com.au/berkley-skid-jig-80g/","Berkley Skid Jig 80g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5485/16733/Skid-Jig-New-Colours__08478.1634607932.jpg?c=2","16.95","null","https://tackleworldadelaide.com.au/berkley-skid-jig-40g/","Berkley Skid Jig 40g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5484/16732/Skid-Jig-New-Colours__19051.1634607798.jpg?c=2","14.95","null","https://tackleworldadelaide.com.au/berkley-skid-jig-20g/","Berkley Skid Jig 20g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/4528/12687/10452__59896.1610333469.jpg?c=2","8.99","null","https://tackleworldadelaide.com.au/palms-miniature-dax-3g/","Palms Miniature Dax 3g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/4523/15485/10379__32745.1626400872.jpg?c=2","9.50","null","https://tackleworldadelaide.com.au/todd-ignition-metal-slug-40g/","Todd Ignition Metal Slug 40g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/3987/10769/Slow-Blatt-Cast-Long-30-gr-Zetz-Pamls_25558__90507.1596694702.jpg?c=2","17.95","null","https://tackleworldadelaide.com.au/palms-slow-blatt-cast-long-40g/","Palms Slow Blatt Cast Long 40g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/3986/10768/Slow-Blatt-Cast-Long-30-gr-Zetz-Pamls_25558__01262.1596694632.jpg?c=2","16.95","null","https://tackleworldadelaide.com.au/palms-slow-blatt-cast-long-30g/","Palms Slow Blatt Cast Long 30g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/3977/10748/9102__08136.1596681759.jpg?c=2","13.95","null","https://tackleworldadelaide.com.au/maria-mucho-lucir-25g/","Maria Mucho Lucir 25g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/3976/10747/9102__89788.1596681626.jpg?c=2","13.95","null","https://tackleworldadelaide.com.au/maria-mucho-lucir-35g/","Maria Mucho Lucir 35g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7448/25765/Daiwa_Steez_Topwater_Lure_colour_chart__86280.1710286720.jpg?c=2","19.99","null","https://tackleworldadelaide.com.au/daiwa-steez-bull-frog-topwater-fishing-lure/","Daiwa Steez Bull Frog Topwater Fishing Lure"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7282/24973/rapala_dives_to_20_colour_chart__68846.1704935935.jpg?c=2","16.99","29.95","https://tackleworldadelaide.com.au/rapala-dt20-dives-to-20ft-crankbait-fishing-lure-70mm/","Rapala DT20 (Dives to 20ft) Crankbait Fishing Lure 70mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7054/24159/product_image_colour_chart__14060.1696992919.jpg?c=2","29.99","null","https://tackleworldadelaide.com.au/atomic-hardz-slappa-surface-fishing-lure-90mm/","Atomic Hardz Slappa Surface Fishing Lure 90mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7050/24145/lure_colour_chart__29365.1696565134.jpg?c=2","60.00","null","https://tackleworldadelaide.com.au/bassman-wake-walker-surface-fishing-lure-230mm/","Bassman Wake Walker Surface Fishing Lure 230mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/6127/19311/SHIMANO_BANTAM_BT_FORCE_COLOURS__11028.1656641014.jpg?c=2","49.99","null","https://tackleworldadelaide.com.au/shimano-bantam-bt-force-fishing-lure-190mm/","Shimano Bantam BT Force Fishing Lure 190mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5899/18114/2022_copy__88616.1645506060.jpg?c=2","10.95","13.95","https://tackleworldadelaide.com.au/jj-stumpjumper-size-3-2022-colours/","JJ StumpJumper Size 3 2022 Colours"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5898/18111/2022_copy__58922.1645505878.jpg?c=2","13.95","16.95","https://tackleworldadelaide.com.au/jj-stumpjumper-size-2-2022-colours/","JJ StumpJumper Size 2 2022 Colours"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5897/18110/2022_copy__85938.1645505707.jpg?c=2","14.95","18.95","https://tackleworldadelaide.com.au/jj-stumpjumper-size-1-2022-colours/","JJ StumpJumper Size 1 2022 Colours"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5773/17764/TUBBY_100__25146.1641532057.jpg?c=2","26.99","33.99","https://tackleworldadelaide.com.au/bassman-tubby-native-minnow-100mm/","Bassman Tubby Native Minnow 100mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5746/17592/STEEZ_RPM_MID_10__00320.1639548834.jpg?c=2","27.99","null","https://tackleworldadelaide.com.au/daiwa-steez-rpm-crank-mid-10/","Daiwa Steez RPM Crank Mid-10"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5663/17382/B-CRANKY_38S__92941.1637123026.jpg?c=2","13.95","null","https://tackleworldadelaide.com.au/fishcraft-b-cranky-38s/","Fishcraft B-Cranky 38S"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5662/17380/B_CRANKY_38M__75203.1637122236.jpg?c=2","13.95","null","https://tackleworldadelaide.com.au/fishcraft-b-cranky-38m/","Fishcraft B-Cranky 38M"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5656/17367/HOUND_DOG_76__25766.1637115245.jpg?c=2","15.95","null","https://tackleworldadelaide.com.au/fishcraft-hound-dog-76/","Fishcraft Hound Dog 76"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5655/17365/HOUND_DOG__29942.1637114487.jpg?c=2","13.95","null","https://tackleworldadelaide.com.au/fishcraft-hound-dog-65/","Fishcraft Hound Dog 65"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5269/15859/11007__17445.1630644567.png?c=2","52.99","null","https://tackleworldadelaide.com.au/biwaa-seven-7-inch/","Biwaa Seven 7 Inch"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5268/15858/11007__22980.1630644482.png?c=2","49.99","null","https://tackleworldadelaide.com.au/biwaa-seven-5-inch/","Biwaa Seven 5 Inch"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5267/15857/11007__86306.1630644398.png?c=2","46.99","null","https://tackleworldadelaide.com.au/biwaa-seven-4-inch/","Biwaa Seven 4 Inch"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5266/20212/PRODUCT_IMAGE__57450.1662424089.jpg?c=2","49.95","null","https://tackleworldadelaide.com.au/biwaa-swimbass-6-inch-slow-sinking-swimbait/","Biwaa Swimbass 6 Inch Slow Sinking Swimbait"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7308/25035/lures_colour_chart_v2__98670.1705965393.jpg?c=2","14.99","27.95","https://tackleworldadelaide.com.au/yo-zuri-3db-pencil-popper-floating-fishing-lure-135mm-clearance/","Yo-Zuri 3DB Pencil Popper Floating Fishing Lure 135mm *Clearance*"
